Frequency [Hz], Amplitude [dB], Phase [deg]
499.99999999999994, -10.287332, -113.730064
511.7655109495128, -9.842058, -113.472099
523.8078763948325, -9.647579, -114.435135
536.1336110051615, -9.483606, -114.875801
548.7493827465278, -9.242836, -115.66465
561.6620164890138, -9.030155, -116.326523
574.8784976988677, -8.879942, -116.991608
588.4059762174994, -8.624655, -117.265427
602.2517701293912, -8.449648, -118.706856
616.4233697210328, -8.256853, -119.315048
630.9284415330104, -8.04529, -120.136841
645.7748325074419, -7.846634, -120.849693
660.9705742330143, -7.676866, -121.806526
676.5238872899037, -7.428375, -122.72657
692.4431856969364, -7.269085, -123.326332
708.7370814634023, -7.109488, -124.492409
725.41438924797, -6.890726, -125.424728
742.4841311272324, -6.741129, -126.341797
759.9555414764665, -6.543417, -127.707558
777.838071965236, -6.31638, -128.45285
796.141396670546, -6.172171, -129.531052
814.8754173103216, -5.964598, -130.744324
834.0502686000294, -5.75991, -131.526703
853.6763237353451, -5.563318, -132.89798
873.7642000038413, -5.518054, -134.318115
894.3247645287174, -5.337494, -135.686905
915.3691401476838, -5.082644, -136.740631
936.9087114301923, -4.92127, -138.086655
958.9551308362443, -4.984269, -139.685883
981.520325020135, -4.848486, -140.966629
1004.6165012825238, -4.5183, -142.446198
1028.2561541743255, -4.456452, -143.839111
1052.4520722560096, -4.327181, -145.27417
1077.217345015942, -4.083857, -146.825455
1102.5653699515226, -3.95373, -148.320023
1128.5098598169607, -3.851619, -150.098679
1155.06485004158, -3.803044, -151.637756
1182.2447063227035, -3.733816, -153.224609
1210.0641323971915, -3.66802, -154.937271
1238.5381779958554, -3.634269, -156.651291
1267.6822469850556, -3.570101, -158.231262
1297.5121056998685, -3.551905, -159.763702
1328.0438914733431, -3.449437, -161.728577
1359.2941213664699, -3.48697, -163.399429
1391.2797011035627, -3.534335, -164.7117
1424.0179342179008, -3.654632, -165.984741
1457.5265314125877, -3.813301, -166.989777
1491.82362014167, -3.928695, -167.995193
1526.9277544167076, -3.975931, -169.502686
1562.8579248441174, -3.885552, -171.588608
1599.633568898692, -3.900071, -173.173691
1637.274581438864, -3.948694, -174.570343
1675.8013254694201, -4.047908, -175.699524
1715.2346431574595, -4.132777, -176.68074
1755.5958671075653, -4.274542, -177.728287
1796.9068319023127, -4.494752, -176.893539
1839.1898859143168, -4.732549, -175.816238
1882.4679033962334, -4.820448, -176.57132
1926.7642968552634, -4.991622, -174.456161
1972.1030297188277, -5.10951, -174.413345
2018.5086292982767, -4.817814, 176.247055
2066.006200057669, -5.196913, -178.450897
2114.621437194749, -5.309797, -175.313614
2164.3806405415303, -5.016302, 172.822998
2215.3107287919406, -5.142531, 171.184998
2267.4392540642907, -4.918336, 163.457428
2320.794416806391, -4.887836, 159.90744
2375.4050810513986, -5.02481, 158.634155
2431.3007900326766, -5.156033, 157.169174
2488.5117821660565, -5.358382, 156.693359
2547.06900740819, -5.514228, 156.195847
2607.0041439998417, -5.692862, 155.466095
2668.349615603156, -5.8666, 154.70668
2731.138608842171, -6.04069, 154.135437
2795.405091256111, -6.20145, 153.700195
2861.18382967511, -6.398925, 153.661285
2928.510409028333, -6.57015, 153.313919
2997.421251594704, -6.738014, 152.509369
3067.9536367065875, -6.909337, 151.930466
3140.1457209171263, -7.044845, 153.073196
3214.036558642159, -7.219739, 157.207932
3289.666123287841, -7.322449, 158.697403
3367.0753288754104, -7.462459, 159.02002
3446.306052174847, -7.531563, 159.989578
3527.4011553593223, -7.576589, 161.262054
3610.4045091927314, -7.725982, 161.116684
3695.361016762887, -7.678742, 163.188553
3782.316637773145, -7.873751, 161.736221
3871.318413405634, -7.903076, 162.719269
3962.414491769588, -8.038786, 162.931824
4055.6541539484356, -8.039713, 164.690811
4151.087840659871, -8.265916, 161.651062
4248.7671795432225, -8.220579, 164.17836
4348.7450130889165, -8.225101, 164.726334
4451.075427225196, -8.481631, 162.766312
4555.813780577448, -9.653675, 123.125267
4663.016734416099, -9.859016, 122.607101
4772.742283309173, -10.038042, 121.96241
4885.049786496127, -10.269371, 121.756989
4999.999999999999, -10.480177, 121.545441
