Frequency [Hz], Amplitude [dB], Phase [deg]
499.99999999999994, -0.684039, 159.293167
511.7655109495128, -0.739691, 158.090103
523.8078763948325, -0.793441, 157.416672
536.1336110051615, -0.836589, 156.859253
548.7493827465278, -0.856467, 156.362869
561.6620164890138, -0.90357, 156.059128
574.8784976988677, -0.940171, 155.476303
588.4059762174994, -1.04215, 154.223373
602.2517701293912, -1.10245, 153.621292
616.4233697210328, -1.136582, 152.888412
630.9284415330104, -1.203724, 152.41452
645.7748325074419, -1.239055, 151.894882
660.9705742330143, -1.375458, 150.68988
676.5238872899037, -1.450917, 149.872421
692.4431856969364, -1.477587, 149.151382
708.7370814634023, -1.575318, 148.464813
725.41438924797, -1.66298, 147.539093
742.4841311272324, -1.741353, 146.774368
759.9555414764665, -1.838773, 145.898361
777.838071965236, -1.942713, 145.225174
796.141396670546, -2.01832, 144.551727
814.8754173103216, -2.042185, 144.120712
834.0502686000294, -1.974548, 144.523834
853.6763237353451, -2.117849, 143.570969
873.7642000038413, -2.178738, 142.903656
894.3247645287174, -2.287386, 142.033203
915.3691401476838, -2.465172, 140.716141
936.9087114301923, -2.616127, 139.834305
958.9551308362443, -2.761878, 138.825317
981.520325020135, -3.038424, 137.028381
1004.6165012825238, -3.366391, 135.313309
1028.2561541743255, -3.588208, 134.211975
1052.4520722560096, -3.798362, 133.089844
1077.217345015942, -4.17324, 131.430206
1102.5653699515226, -4.528827, 129.797989
1128.5098598169607, -4.790282, 128.989746
1155.06485004158, -4.920983, 128.521545
1182.2447063227035, -4.916007, 128.441788
1210.0641323971915, -5.076303, 127.776573
1238.5381779958554, -4.978128, 128.067123
1267.6822469850556, -5.34282, 126.866928
1297.5121056998685, -5.673297, 125.884338
1328.0438914733431, -6.104986, 124.856079
1359.2941213664699, -6.488678, 123.648605
1391.2797011035627, -6.957569, 122.717018
1424.0179342179008, -7.463222, 121.93718
1457.5265314125877, -7.991962, 121.171356
1491.82362014167, -9.478777, 120.579277
1526.9277544167076, -12.676579, 124.241142
1562.8579248441174, -14.999306, 133.542831
1599.633568898692, -16.562943, 143.168152
1637.274581438864, -17.529409, 156.37326
1675.8013254694201, -17.90201, 171.085648
1715.2346431574595, -17.483072, -178.096817
1755.5958671075653, -16.951172, -168.713333
1796.9068319023127, -16.258799, -162.831894
1839.1898859143168, -15.527549, -157.752548
1882.4679033962334, -15.10195, -155.848145
1926.7642968552634, -15.239258, -156.936523
1972.1030297188277, -14.59836, -153.225235
2018.5086292982767, -12.772877, -147.420578
2066.006200057669, -11.409078, -145.08461
2114.621437194749, -9.925565, -143.713852
2164.3806405415303, -9.114225, -143.747772
2215.3107287919406, -8.539971, -144.561325
2267.4392540642907, -8.09443, -144.961426
2320.794416806391, -7.727061, -145.287796
2375.4050810513986, -7.358994, -145.91423
2431.3007900326766, -7.1164, -146.695099
2488.5117821660565, -6.918148, -147.166763
2547.06900740819, -6.716073, -147.542953
2607.0041439998417, -6.605673, -147.967056
2668.349615603156, -6.34552, -148.636261
2731.138608842171, -6.072984, -149.331741
2795.405091256111, -5.853703, -150.198532
2861.18382967511, -5.664324, -150.924118
2928.510409028333, -5.45856, -151.685547
2997.421251594704, -5.268987, -152.524567
3067.9536367065875, -5.123177, -153.120193
3140.1457209171263, -4.961755, -153.901138
3214.036558642159, -4.84058, -154.494461
3289.666123287841, -4.717992, -155.194
3367.0753288754104, -4.584109, -155.804001
3446.306052174847, -4.496094, -156.450378
3527.4011553593223, -4.381868, -157.047272
3610.4045091927314, -4.29695, -157.669144
3695.361016762887, -4.214049, -158.250824
3782.316637773145, -4.120515, -158.927734
3871.318413405634, -4.051442, -159.415176
3962.414491769588, -3.981215, -159.983658
4055.6541539484356, -3.912289, -160.438705
4151.087840659871, -3.847518, -160.972229
4248.7671795432225, -3.779468, -161.378845
4348.7450130889165, -3.728493, -161.980011
4451.075427225196, -3.666591, -162.527359
4555.813780577448, -3.628654, -162.867508
4663.016734416099, -3.600865, -163.296143
4772.742283309173, -3.499028, -164.012421
4885.049786496127, -3.517551, -164.123077
4999.999999999999, -3.492639, -164.457016
