Frequency [Hz], Amplitude [dB], Phase [deg]
499.99999999999994, -20.038788, 155.75853
511.7655109495128, -19.834743, 154.058853
523.8078763948325, -19.536829, 153.710968
536.1336110051615, -18.949612, 153.59462
548.7493827465278, -18.490175, 153.589706
561.6620164890138, -18.090555, 150.585037
574.8784976988677, -17.791664, 151.67485
588.4059762174994, -17.310713, 151.12616
602.2517701293912, -17.041834, 150.32074
616.4233697210328, -16.550652, 148.841614
630.9284415330104, -16.12994, 148.694138
645.7748325074419, -15.70723, 147.691147
660.9705742330143, -15.487642, 147.782333
676.5238872899037, -14.977226, 145.517151
692.4431856969364, -14.466627, 145.355484
708.7370814634023, -14.119287, 144.679672
725.41438924797, -13.733658, 143.102829
742.4841311272324, -13.246699, 142.855423
759.9555414764665, -12.902388, 141.729919
777.838071965236, -12.523929, 140.217834
796.141396670546, -11.975421, 139.21611
814.8754173103216, -11.658807, 138.020325
834.0502686000294, -11.185028, 137.296005
853.6763237353451, -10.871076, 135.872223
873.7642000038413, -10.4196, 135.094086
894.3247645287174, -10.04969, 133.423645
915.3691401476838, -9.667496, 132.126617
936.9087114301923, -9.267675, 130.631744
958.9551308362443, -8.848845, 129.341461
981.520325020135, -8.43635, 127.741119
1004.6165012825238, -8.04879, 126.209595
1028.2561541743255, -7.637885, 124.695885
1052.4520722560096, -7.20005, 122.882736
1077.217345015942, -6.900277, 121.404396
1102.5653699515226, -6.517699, 119.299652
1128.5098598169607, -6.183282, 117.538742
1155.06485004158, -5.802106, 115.908745
1182.2447063227035, -5.420889, 114.011894
1210.0641323971915, -5.086318, 111.805595
1238.5381779958554, -4.740315, 109.890488
1267.6822469850556, -4.42254, 107.735039
1297.5121056998685, -4.094961, 105.534065
1328.0438914733431, -3.809859, 103.401413
1359.2941213664699, -3.515951, 101.089508
1391.2797011035627, -3.229928, 98.87262
1424.0179342179008, -2.975615, 96.533333
1457.5265314125877, -2.71937, 94.123871
1491.82362014167, -2.459623, 91.82692
1526.9277544167076, -2.274987, 89.299194
1562.8579248441174, -2.060557, 86.995781
1599.633568898692, -1.87534, 84.619995
1637.274581438864, -1.670548, 82.254044
1675.8013254694201, -1.544599, 79.787598
1715.2346431574595, -1.391452, 77.428131
1755.5958671075653, -1.262218, 75.039452
1796.9068319023127, -1.125201, 72.715034
1839.1898859143168, -1.031698, 70.541855
1882.4679033962334, -0.952858, 68.287415
1926.7642968552634, -0.879215, 66.141594
1972.1030297188277, -0.813736, 63.904823
2018.5086292982767, -0.768352, 61.794636
2066.006200057669, -0.717214, 59.792557
2114.621437194749, -0.677106, 57.946232
2164.3806405415303, -0.648203, 56.049053
2215.3107287919406, -0.634466, 54.129681
2267.4392540642907, -0.613434, 52.31591
2320.794416806391, -0.608091, 50.718525
2375.4050810513986, -0.597573, 48.994694
2431.3007900326766, -0.593148, 47.401619
2488.5117821660565, -0.609468, 45.835896
2547.06900740819, -0.617054, 44.360699
2607.0041439998417, -0.637276, 42.944241
2668.349615603156, -0.642595, 41.587635
2731.138608842171, -0.660551, 40.250603
2795.405091256111, -0.68598, 38.939854
2861.18382967511, -0.704404, 37.736706
2928.510409028333, -0.718198, 36.557407
2997.421251594704, -0.750335, 35.457027
3067.9536367065875, -0.765124, 34.347095
3140.1457209171263, -0.795251, 33.307903
3214.036558642159, -0.806529, 32.342529
3289.666123287841, -0.838354, 31.289274
3367.0753288754104, -0.851232, 30.364904
3446.306052174847, -0.888861, 29.47489
3527.4011553593223, -0.909937, 28.562267
3610.4045091927314, -0.926841, 27.75028
3695.361016762887, -0.95451, 26.943007
3782.316637773145, -0.971338, 26.078932
3871.318413405634, -1.00031, 25.362268
3962.414491769588, -1.014402, 24.599895
4055.6541539484356, -1.042041, 23.944471
4151.087840659871, -1.056215, 23.259956
4248.7671795432225, -1.086336, 22.548859
4348.7450130889165, -1.098353, 21.934702
4451.075427225196, -1.116064, 21.341084
4555.813780577448, -1.143429, 20.697659
4663.016734416099, -1.155343, 20.094921
4772.742283309173, -1.176408, 19.559572
4885.049786496127, -1.187289, 19.015284
4999.999999999999, -1.20534, 18.482903
