Frequency [Hz], Amplitude [dB], Phase [deg]
499.99999999999994, 0.10419, -22.296366
511.7655109495128, 0.095712, -22.828863
523.8078763948325, 0.110387, -23.414106
536.1336110051615, 0.108575, -23.992651
548.7493827465278, 0.122756, -24.617382
561.6620164890138, 0.119764, -25.256039
574.8784976988677, 0.127754, -25.984884
588.4059762174994, 0.132548, -26.549253
602.2517701293912, 0.148363, -27.271231
616.4233697210328, 0.151956, -27.977629
630.9284415330104, 0.153368, -28.687969
645.7748325074419, 0.151895, -29.448921
660.9705742330143, 0.175109, -30.336319
676.5238872899037, 0.171029, -31.015759
692.4431856969364, 0.176156, -31.858099
708.7370814634023, 0.192931, -32.774719
725.41438924797, 0.190829, -33.519188
742.4841311272324, 0.197603, -34.480698
759.9555414764665, 0.221667, -35.5229
777.838071965236, 0.21222, -36.371426
796.141396670546, 0.216587, -37.48933
814.8754173103216, 0.214973, -38.55378
834.0502686000294, 0.215046, -39.574844
853.6763237353451, 0.23027, -40.653278
873.7642000038413, 0.215122, -41.856716
894.3247645287174, 0.221025, -43.041729
915.3691401476838, 0.20602, -44.311699
936.9087114301923, 0.223962, -45.499187
958.9551308362443, 0.202766, -46.912594
981.520325020135, 0.19042, -48.240257
1004.6165012825238, 0.192998, -49.806923
1028.2561541743255, 0.15678, -51.169373
1052.4520722560096, 0.152674, -52.76001
1077.217345015942, 0.099611, -54.342735
1102.5653699515226, 0.073768, -55.938129
1128.5098598169607, 0.026531, -57.540043
1155.06485004158, -0.012673, -59.330826
1182.2447063227035, -0.062762, -61.039726
1210.0641323971915, -0.126654, -62.979725
1238.5381779958554, -0.190472, -64.789223
1267.6822469850556, -0.272611, -66.732697
1297.5121056998685, -0.344776, -68.753487
1328.0438914733431, -0.458945, -70.79509
1359.2941213664699, -0.57008, -72.915894
1391.2797011035627, -0.669315, -75.040421
1424.0179342179008, -0.821538, -77.289452
1457.5265314125877, -0.970956, -79.409828
1491.82362014167, -1.115969, -81.546242
1526.9277544167076, -1.305028, -83.733002
1562.8579248441174, -1.498582, -86.077904
1599.633568898692, -1.701852, -88.22139
1637.274581438864, -1.891845, -90.38047
1675.8013254694201, -2.166693, -92.659401
1715.2346431574595, -2.398607, -94.909645
1755.5958671075653, -2.672116, -97.114365
1796.9068319023127, -2.943153, -99.351006
1839.1898859143168, -3.234607, -101.360626
1882.4679033962334, -3.544825, -103.310112
1926.7642968552634, -3.83505, -105.204819
1972.1030297188277, -4.166651, -107.3881
2018.5086292982767, -4.52868, -109.323318
2066.006200057669, -4.870287, -111.145813
2114.621437194749, -5.232269, -112.840858
2164.3806405415303, -5.586757, -114.603104
2215.3107287919406, -5.960474, -116.385727
2267.4392540642907, -6.322237, -117.887154
2320.794416806391, -6.708906, -119.235992
2375.4050810513986, -7.094745, -120.894814
2431.3007900326766, -7.479269, -122.287666
2488.5117821660565, -7.916395, -123.722099
2547.06900740819, -8.296247, -125.049263
2607.0041439998417, -8.6966, -126.220551
2668.349615603156, -9.12096, -127.638123
2731.138608842171, -9.512808, -128.665939
2795.405091256111, -9.922365, -129.660828
2861.18382967511, -10.321721, -130.803116
2928.510409028333, -10.74065, -131.756882
2997.421251594704, -11.169216, -132.652863
3067.9536367065875, -11.588099, -133.671188
3140.1457209171263, -11.998159, -134.418671
3214.036558642159, -12.419702, -135.21315
3289.666123287841, -12.855344, -135.880371
3367.0753288754104, -13.214822, -136.662933
3446.306052174847, -13.674317, -137.310791
3527.4011553593223, -14.133167, -138.061951
3610.4045091927314, -14.502416, -138.574585
3695.361016762887, -14.896702, -139.083664
3782.316637773145, -15.32155, -139.863113
3871.318413405634, -15.73764, -140.178238
3962.414491769588, -16.148716, -140.619843
4055.6541539484356, -16.570446, -141.03717
4151.087840659871, -16.983679, -141.532425
4248.7671795432225, -17.353498, -141.621384
4348.7450130889165, -17.826168, -142.111374
4451.075427225196, -18.208521, -142.386856
4555.813780577448, -18.604813, -142.714508
4663.016734416099, -18.974173, -143.463303
4772.742283309173, -19.436207, -143.132507
4885.049786496127, -19.788479, -143.238068
4999.999999999999, -20.201149, -143.561157
