Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 0.047872, 178.027283
51.53612032610433, 0.035489, 177.11795
53.11943396533411, -0.350671, 177.529739
54.75139080984025, -0.261712, 177.016724
56.433485295949836, -0.179302, 177.369568
58.16725777267021, -0.149108, 177.101471
59.95429591223723, -0.15153, 176.708633
61.796236163998465, -0.191629, 177.256012
63.69476525296374, -0.190706, 177.034424
65.65162172439418, -0.166086, 176.608414
67.66859753584531, -0.187367, 176.433655
69.74753969812103, -0.194882, 176.257111
71.89035196664213, -0.18759, 176.433792
74.0989965847772, -0.216509, 176.108566
76.37549608073348, -0.211888, 175.948318
78.72193511965182, -0.199001, 175.612488
81.14046241260314, -0.200349, 175.319626
83.63329268423324, -0.207728, 174.956696
86.20270870085896, -0.22114, 174.905945
88.85106336087178, -0.185354, 174.623978
91.58078184936421, -0.182769, 174.3116
94.39436385895092, -0.207396, 173.654968
97.29438587881944, -0.179612, 173.699173
100.28350355410537, -0.190451, 172.931122
103.36445411775371, -0.266425, 173.126633
106.54005889709293, -0.25759, 172.392075
109.81322589741649, -0.336857, 171.501007
113.18695246493866, -0.318611, 170.722946
116.66432803156273, -0.354284, 169.983047
120.24853694397449, -0.414785, 168.900757
123.94286137965344, -0.504735, 167.775711
127.75068435246993, -0.613227, 166.065887
131.6754928106213, -0.73761, 164.11824
135.7208808297453, -1.014051, 161.714142
139.89055290413245, -1.393473, 158.149139
144.18832733905268, -2.193644, 153.840103
148.61813974730293, -3.660419, 151.153976
153.18404665317587, -8.715963, 163.577972
157.89022920715306, -7.289457, -155.383423
162.74099701472082, -5.304626, -151.433121
167.74079208281677, -3.39879, -152.710022
172.8941928875219, -2.133565, -157.94249
178.20591856672044, -1.474154, -161.854614
183.6808332415691, -1.047149, -165.127289
189.32395047073243, -0.863412, -167.084747
195.14043784146168, -0.739467, -168.674011
201.13562170172506, -0.576851, -170.759933
207.31499203771833, -0.484948, -171.70134
213.68420750122428, -0.515489, -172.544861
220.24910059142684, -0.459736, -173.3284
227.01568299592063, -0.41121, -174.02533
233.9901510958105, -0.41268, -174.750015
241.17889163994047, -0.383226, -175.463669
248.58848759344932, -0.35034, -175.926819
256.225724166006, -0.387216, -175.996292
264.0975950252501, -0.355421, -176.6548
272.21130870112154, -0.34501, -176.936478
280.57429518694664, -0.302354, -177.086777
289.19421274332797, -0.316828, -177.376236
298.07895491106336, -0.343911, -178.136887
307.2366577395198, -0.329142, -178.347656
316.67570723708087, -0.337919, -178.187363
326.4047470504878, -0.353163, -178.521423
336.4326863801118, -0.338359, -178.952774
346.7687081383997, -0.316556, -179.277344
357.4222773589664, -0.35599, -179.270187
368.40314986403865, -0.328634, -179.290359
379.7213811981789, -0.324968, -179.609055
391.38733583647763, -0.358539, -179.991257
403.41169667564276, -0.369961, 179.866196
415.8054748166766, -0.382447, 179.94693
428.58001964810387, -0.354662, 179.850052
441.7470292389773, -0.351436, 179.529724
455.3185610511813, -0.381089, 179.538681
469.3070429808473, -0.393481, 179.509201
483.7252847389833, -0.366196, 179.12471
498.58648958174655, -0.384416, 179.038651
513.9042664010972, -0.413937, 178.673157
529.6926421869069, -0.436528, 178.574783
545.9660748719314, -0.438873, 178.649521
562.7394665714154, -0.450442, 178.45871
580.0281772294447, -0.481111, 178.138062
597.8480386845528, -0.458489, 178.138824
616.2153691674517, -0.485264, 177.98645
635.146988244172, -0.470342, 178.022308
654.6602322182886, -0.517815, 177.965683
674.7729700063431, -0.511471, 177.734695
695.5036195009939, -0.521864, 177.702148
716.8711644368869, -0.540493, 177.56575
738.8951717746787, -0.54501, 177.43808
761.5958096191474, -0.591282, 177.329803
784.9938656877847, -0.576748, 177.251648
809.1107663467892, -0.610757, 177.435577
833.9685962318924, -0.616152, 177.114899
859.5901184719835, -0.633109, 177.010117
885.9987955340486, -0.705073, 176.923172
913.2188107085248, -0.669811, 176.912292
941.2750902547297, -0.717216, 176.897888
970.1933262266493, -0.718812, 176.744873
1000, -0.741874, 176.79187
