Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, -17.973129, 172.736572
51.53612032610433, -17.433741, 172.735855
53.11943396533411, -19.084867, 176.285126
54.75139080984025, -17.856157, 174.263016
56.433485295949836, -16.798786, 176.559189
58.16725777267021, -16.056719, 175.558212
59.95429591223723, -15.487432, 174.328262
61.796236163998465, -14.958881, 176.861633
63.69476525296374, -14.359211, 176.039368
65.65162172439418, -13.667381, 174.805359
67.66859753584531, -13.074442, 174.778961
69.74753969812103, -12.458526, 174.441498
71.89035196664213, -11.700238, 174.985275
74.0989965847772, -11.10322, 174.636978
76.37549608073348, -10.394378, 174.229126
78.72193511965182, -9.719769, 173.64917
81.14046241260314, -9.040133, 173.27179
83.63329268423324, -8.35785, 172.886322
86.20270870085896, -7.591885, 172.543472
88.85106336087178, -6.819858, 171.994354
91.58078184936421, -6.025261, 171.775116
94.39436385895092, -5.202533, 171.748337
97.29438587881944, -4.499923, 170.346268
100.28350355410537, -3.598856, 170.723221
103.36445411775371, -2.701011, 168.77298
106.54005889709293, -1.795701, 168.373764
109.81322589741649, -0.714828, 167.642059
113.18695246493866, 0.266819, 166.413513
116.66432803156273, 1.380371, 165.089508
120.24853694397449, 2.530782, 163.593323
123.94286137965344, 3.798468, 161.512726
127.75068435246993, 5.10133, 159.128815
131.6754928106213, 6.567603, 156.010315
135.7208808297453, 8.210623, 151.711563
139.89055290413245, 9.986101, 145.819153
144.18832733905268, 11.91103, 137.389771
148.61813974730293, 13.862011, 124.532288
153.18404665317587, 15.382765, 103.263466
157.89022920715306, 15.72734, 72.552902
162.74099701472082, 15.110836, 64.514023
167.74079208281677, 14.340599, 47.512405
172.8941928875219, 12.862419, 36.982162
178.20591856672044, 11.515961, 29.604963
183.6808332415691, 10.323341, 24.253325
189.32395047073243, 9.271277, 20.482054
195.14043784146168, 8.37642, 17.742039
201.13562170172506, 7.595941, 15.385174
207.31499203771833, 6.90344, 13.487838
213.68420750122428, 6.285203, 12.064204
220.24910059142684, 5.748651, 10.890374
227.01568299592063, 5.289276, 9.832945
233.9901510958105, 4.849376, 8.743557
241.17889163994047, 4.441062, 7.991622
248.58848759344932, 4.077336, 7.384227
256.225724166006, 3.787158, 6.689774
264.0975950252501, 3.490751, 6.094817
272.21130870112154, 3.214753, 5.446611
280.57429518694664, 2.954407, 5.028901
289.19421274332797, 2.752227, 4.69012
298.07895491106336, 2.537669, 4.257841
307.2366577395198, 2.334568, 3.757659
316.67570723708087, 2.1524, 3.485425
326.4047470504878, 1.977642, 3.269557
336.4326863801118, 1.853558, 2.927009
346.7687081383997, 1.723697, 2.56352
357.4222773589664, 1.555355, 2.301596
368.40314986403865, 1.42311, 2.07995
379.7213811981789, 1.322828, 1.841422
391.38733583647763, 1.21779, 1.524919
403.41169667564276, 1.115731, 1.223792
415.8054748166766, 0.999725, 1.089313
428.58001964810387, 0.915213, 0.870999
441.7470292389773, 0.82623, 0.686543
455.3185610511813, 0.765845, 0.427242
469.3070429808473, 0.677054, 0.239398
483.7252847389833, 0.589526, 0.052372
498.58648958174655, 0.519589, -0.022007
513.9042664010972, 0.480291, -0.145312
529.6926421869069, 0.405289, -0.414551
545.9660748719314, 0.333878, -0.536744
562.7394665714154, 0.285775, -0.530316
580.0281772294447, 0.253197, -0.811765
597.8480386845528, 0.195588, -1.063194
616.2153691674517, 0.134018, -1.219114
635.146988244172, 0.075535, -1.310071
654.6602322182886, 0.044695, -1.410571
674.7729700063431, 0.006102, -1.510028
695.5036195009939, -0.059881, -1.712803
716.8711644368869, -0.090918, -1.863426
738.8951717746787, -0.101724, -1.89311
761.5958096191474, -0.169362, -2.039289
784.9938656877847, -0.234307, -2.230016
809.1107663467892, -0.246033, -2.157718
833.9685962318924, -0.269477, -2.38266
859.5901184719835, -0.325197, -2.500553
885.9987955340486, -0.352373, -2.528195
913.2188107085248, -0.397993, -2.757184
941.2750902547297, -0.433721, -2.66014
970.1933262266493, -0.449963, -2.72793
1000, -0.480367, -2.96646
