Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 0.629976, -2.796648
51.53612032610433, 0.720256, -2.72974
53.11943396533411, 0.905198, -3.305675
54.75139080984025, 0.948224, -3.389673
56.433485295949836, 0.984643, -3.610574
58.16725777267021, 1.063645, -3.742916
59.95429591223723, 1.153413, -3.929886
61.796236163998465, 1.22728, -4.285739
63.69476525296374, 1.328157, -4.539835
65.65162172439418, 1.43273, -4.744085
67.66859753584531, 1.539688, -5.063103
69.74753969812103, 1.662363, -5.372948
71.89035196664213, 1.775773, -5.797608
74.0989965847772, 1.923622, -6.189804
76.37549608073348, 2.058378, -6.598946
78.72193511965182, 2.210743, -7.021428
81.14046241260314, 2.382794, -7.523385
83.63329268423324, 2.558196, -8.051864
86.20270870085896, 2.744489, -8.701197
88.85106336087178, 2.948342, -9.415713
91.58078184936421, 3.174664, -10.271441
94.39436385895092, 3.373338, -11.7632
97.29438587881944, 3.65544, -12.257729
100.28350355410537, 3.91784, -13.698219
103.36445411775371, 4.439603, -12.418802
106.54005889709293, 4.847649, -13.223508
109.81322589741649, 5.266804, -14.485863
113.18695246493866, 5.741675, -15.765197
116.66432803156273, 6.271296, -17.323463
120.24853694397449, 6.888404, -18.963596
123.94286137965344, 7.581988, -20.967623
127.75068435246993, 8.364152, -23.297455
131.6754928106213, 9.239101, -26.666924
135.7208808297453, 9.97155, -33.0709
139.89055290413245, 11.306055, -37.364616
144.18832733905268, 13.096913, -43.51926
148.61813974730293, 15.076622, -52.956631
153.18404665317587, 16.497959, -91.693504
157.89022920715306, 15.926286, -115.835739
162.74099701472082, 15.092591, -125.366394
167.74079208281677, 12.960833, -129.751511
172.8941928875219, 11.107073, -140.262192
178.20591856672044, 9.251775, -147.530075
183.6808332415691, 7.527098, -152.743225
189.32395047073243, 5.964505, -156.218491
195.14043784146168, 4.540322, -158.718719
201.13562170172506, 3.274013, -161.33493
207.31499203771833, 2.062748, -163.200012
213.68420750122428, 0.849431, -164.277313
220.24910059142684, -0.145423, -165.27948
227.01568299592063, -1.150276, -166.344391
233.9901510958105, -2.132591, -167.37886
241.17889163994047, -3.067474, -167.759842
248.58848759344932, -3.925932, -168.324097
256.225724166006, -4.758224, -168.927399
264.0975950252501, -5.553642, -169.591278
272.21130870112154, -6.389151, -169.985092
280.57429518694664, -7.128315, -170.051514
289.19421274332797, -7.826153, -170.276764
298.07895491106336, -8.627365, -170.250137
307.2366577395198, -9.392375, -170.741318
316.67570723708087, -10.011931, -171.27478
326.4047470504878, -10.711341, -170.928635
336.4326863801118, -11.460163, -171.05304
346.7687081383997, -12.025113, -171.538803
357.4222773589664, -12.723778, -171.937347
368.40314986403865, -13.470597, -171.516907
379.7213811981789, -14.070471, -170.881226
391.38733583647763, -14.478284, -172.047745
403.41169667564276, -15.148344, -172.260269
415.8054748166766, -16.008976, -172.499313
428.58001964810387, -16.571301, -171.11026
441.7470292389773, -16.992443, -171.26062
455.3185610511813, -17.737398, -171.685913
469.3070429808473, -18.348509, -172.021225
483.7252847389833, -19.184006, -171.183456
498.58648958174655, -19.583776, -170.013168
513.9042664010972, -20.187435, -171.060043
529.6926421869069, -20.761265, -171.153366
545.9660748719314, -21.383226, -169.923141
562.7394665714154, -21.886911, -170.012283
580.0281772294447, -22.227711, -170.52623
597.8480386845528, -22.82686, -171.946243
616.2153691674517, -23.585396, -170.560181
635.146988244172, -24.385258, -170.018875
654.6602322182886, -24.795502, -168.789841
674.7729700063431, -25.53484, -172.388702
695.5036195009939, -25.671017, -173.889938
716.8711644368869, -26.230042, -166.627762
738.8951717746787, -27.123545, -170.761154
761.5958096191474, -27.5774, -173.885864
784.9938656877847, -28.391411, -166.224548
809.1107663467892, -28.513264, -166.427826
833.9685962318924, -28.964565, -171.044128
859.5901184719835, -29.909805, -167.295959
885.9987955340486, -30.632439, -167.201767
913.2188107085248, -30.574293, -168.407761
941.2750902547297, -31.805557, -164.149277
970.1933262266493, -31.298903, -163.969955
1000, -32.539871, -170.503571
