Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 18.814632, -31.637054
51.53612032610433, 18.87735, -35.97274
53.11943396533411, 18.847486, -39.899853
54.75139080984025, 18.875074, -43.906658
56.433485295949836, 18.893993, -48.085423
58.16725777267021, 18.910667, -52.224243
59.95429591223723, 18.924801, -56.285641
61.796236163998465, 18.933975, -60.274471
63.69476525296374, 18.950737, -64.627815
65.65162172439418, 18.955627, -68.792641
67.66859753584531, 18.964659, -72.584053
69.74753969812103, 18.960316, -76.34063
71.89035196664213, 18.952988, -80.719589
74.0989965847772, 18.93956, -84.516388
76.37549608073348, 18.941063, -88.42363
78.72193511965182, 18.932886, -92.235786
81.14046241260314, 18.909424, -96.103294
83.63329268423324, 18.886164, -99.935524
86.20270870085896, 18.857939, -103.827332
88.85106336087178, 18.828814, -107.973396
91.58078184936421, 18.791508, -112.463036
94.39436385895092, 18.74345, -117.119576
97.29438587881944, 18.700918, -122.317429
100.28350355410537, 18.643345, -127.317497
103.36445411775371, 18.605192, -132.998337
106.54005889709293, 18.534512, -138.136887
109.81322589741649, 18.474739, -142.79248
113.18695246493866, 18.383499, -147.043579
116.66432803156273, 18.295837, -150.652939
120.24853694397449, 18.179806, -153.804626
123.94286137965344, 18.043121, -156.496262
127.75068435246993, 17.852839, -158.544754
131.6754928106213, 17.547625, -159.772125
135.7208808297453, 17.218941, -160.723419
139.89055290413245, 16.875761, -161.592087
144.18832733905268, 16.548473, -162.415329
148.61813974730293, 16.212568, -163.534515
153.18404665317587, 15.893564, -164.485046
157.89022920715306, 15.612026, -165.590027
162.74099701472082, 15.283542, -166.580276
167.74079208281677, 14.907069, -167.208084
172.8941928875219, 14.525644, -167.863983
178.20591856672044, 14.11455, -168.461548
183.6808332415691, 13.716855, -168.95723
189.32395047073243, 13.295624, -169.418762
195.14043784146168, 12.870789, -169.81395
201.13562170172506, 12.457137, -170.260345
207.31499203771833, 12.026124, -170.548019
213.68420750122428, 11.565449, -170.794601
220.24910059142684, 11.133177, -171.205048
227.01568299592063, 10.677299, -171.327438
233.9901510958105, 10.125194, -171.932968
241.17889163994047, 6.812631, -169.092361
248.58848759344932, 5.460363, -166.673431
256.225724166006, 4.399637, -162.030899
264.0975950252501, 3.556592, -157.838852
272.21130870112154, 3.212113, -157.718048
280.57429518694664, 2.67136, -161.638062
289.19421274332797, 2.327765, -171.530975
298.07895491106336, 2.002667, 174.461502
307.2366577395198, 1.368341, 156.546707
316.67570723708087, 0.388084, 144.888687
326.4047470504878, 1.873175, -179.129013
336.4326863801118, 3.900175, -173.288559
346.7687081383997, 3.641588, -174.602158
357.4222773589664, 3.039198, -174.753693
368.40314986403865, 2.074728, -173.478317
379.7213811981789, 1.797777, -173.467957
391.38733583647763, 1.207052, -173.758179
403.41169667564276, 0.87695, -175.447067
415.8054748166766, 0.184454, -176.533585
428.58001964810387, -0.689208, -176.323059
441.7470292389773, -1.365123, -174.172821
455.3185610511813, -1.771595, -171.20607
469.3070429808473, -1.644101, -168.151154
483.7252847389833, -1.924594, -173.352509
498.58648958174655, -2.445285, -177.503082
513.9042664010972, -3.694417, 179.748749
529.6926421869069, -4.688986, -175.959824
545.9660748719314, -4.771838, -171.463806
562.7394665714154, -4.81759, -173.414612
580.0281772294447, -5.512329, -175.723511
597.8480386845528, -6.694513, -172.410477
616.2153691674517, -6.542666, -169.302383
635.146988244172, -6.346894, -173.471161
654.6602322182886, -7.365829, 179.853149
674.7729700063431, -9.34006, -177.963272
695.5036195009939, -9.698549, -168.244827
716.8711644368869, -8.889109, -169.4077
738.8951717746787, -9.451941, -176.039169
761.5958096191474, -10.935945, -176.739655
784.9938656877847, -11.574537, -171.967453
809.1107663467892, -11.551985, -172.516403
833.9685962318924, -12.104528, -173.948105
859.5901184719835, -12.865729, -173.772156
885.9987955340486, -13.237297, -172.314301
913.2188107085248, -13.627118, -172.021271
941.2750902547297, -14.150953, -173.887405
970.1933262266493, -15.206021, -172.262436
1000, -15.415306, -169.238998
