Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, -9.984964, -112.652237
51.53612032610433, -9.715655, -111.926491
53.11943396533411, -8.84452, -110.78241
54.75139080984025, -8.745039, -111.771011
56.433485295949836, -8.444639, -113.877655
58.16725777267021, -8.21664, -114.744843
59.95429591223723, -7.980758, -115.321121
61.796236163998465, -7.581564, -116.805565
63.69476525296374, -7.310239, -117.510361
65.65162172439418, -7.073102, -118.545929
67.66859753584531, -6.786509, -119.431778
69.74753969812103, -6.492091, -120.462646
71.89035196664213, -6.206224, -122.293541
74.0989965847772, -5.886147, -123.270393
76.37549608073348, -5.633139, -124.570648
78.72193511965182, -5.37638, -126.034492
81.14046241260314, -5.092104, -127.512711
83.63329268423324, -4.832562, -129.050537
86.20270870085896, -4.50728, -130.830292
88.85106336087178, -4.313808, -132.378906
91.58078184936421, -4.054308, -134.555206
94.39436385895092, -3.872979, -136.060867
97.29438587881944, -3.479222, -138.736298
100.28350355410537, -3.320611, -140.903641
103.36445411775371, -2.998891, -142.004959
106.54005889709293, -2.81368, -144.315933
109.81322589741649, -2.654529, -147.210251
113.18695246493866, -2.46559, -149.356491
116.66432803156273, -2.30008, -152.165543
120.24853694397449, -2.142746, -154.779388
123.94286137965344, -2.03413, -157.296173
127.75068435246993, -1.902988, -159.695633
131.6754928106213, -1.832514, -162.676498
135.7208808297453, -1.788911, -165.299683
139.89055290413245, -1.777326, -168.492249
144.18832733905268, -1.823009, -171.199631
148.61813974730293, -1.744949, -173.556442
153.18404665317587, -1.796659, -176.46907
157.89022920715306, -2.025229, -178.456635
162.74099701472082, -2.108168, 178.814636
167.74079208281677, -2.222584, 176.285461
172.8941928875219, -2.395907, 174.049072
178.20591856672044, -2.697392, 172.734726
183.6808332415691, -3.242614, 176.424011
189.32395047073243, -2.690394, 166.306335
195.14043784146168, -2.909045, 164.474152
201.13562170172506, -3.136932, 163.161392
207.31499203771833, -3.361782, 161.508575
213.68420750122428, -3.60107, 159.750931
220.24910059142684, -3.864469, 161.118134
227.01568299592063, -4.161389, 157.920303
233.9901510958105, -4.558749, 159.417542
241.17889163994047, -4.551177, 155.608658
248.58848759344932, -4.580029, 150.178284
256.225724166006, -4.83388, 148.965439
264.0975950252501, -5.099421, 148.180725
272.21130870112154, -5.368505, 146.925476
280.57429518694664, -5.596619, 146.038788
289.19421274332797, -5.877925, 145.16301
298.07895491106336, -6.063032, 144.944397
307.2366577395198, -6.302985, 143.836945
316.67570723708087, -6.638927, 143.560059
326.4047470504878, -6.88223, 142.909271
336.4326863801118, -7.078276, 142.440674
346.7687081383997, -7.326312, 142.005066
357.4222773589664, -7.58133, 142.165787
368.40314986403865, -7.822113, 141.801559
379.7213811981789, -8.041745, 141.580399
391.38733583647763, -8.330544, 141.521194
403.41169667564276, -8.485322, 141.289276
415.8054748166766, -8.73908, 141.344009
428.58001964810387, -8.926898, 141.392548
441.7470292389773, -9.211454, 141.548004
455.3185610511813, -9.41144, 141.31926
469.3070429808473, -9.584946, 142.043396
483.7252847389833, -9.751811, 141.868378
498.58648958174655, -9.918771, 142.151459
513.9042664010972, -10.121837, 142.918945
529.6926421869069, -10.333464, 143.095047
545.9660748719314, -10.491266, 143.661163
562.7394665714154, -10.6252, 144.260422
580.0281772294447, -10.806, 144.649918
597.8480386845528, -10.867661, 145.283646
616.2153691674517, -11.04622, 145.786682
635.146988244172, -11.115219, 147.062927
654.6602322182886, -11.24074, 148.263611
674.7729700063431, -11.263056, 149.174423
695.5036195009939, -11.198297, 151.247894
716.8711644368869, -10.776462, 150.645767
738.8951717746787, -12.683196, 140.794662
761.5958096191474, -12.803337, 140.484421
784.9938656877847, -12.884655, 141.963425
809.1107663467892, -13.120942, 142.050735
833.9685962318924, -13.223714, 142.746124
859.5901184719835, -13.437909, 143.291336
885.9987955340486, -13.594858, 143.55838
913.2188107085248, -13.676758, 144.85582
941.2750902547297, -13.834624, 144.173157
970.1933262266493, -13.946198, 145.461426
1000, -14.09707, 145.63121
