Frequency [Hz], Amplitude [dB], Phase [deg]
499.99999999999994, -9.673257, -112.413643
511.7655109495128, -9.41707, -113.207008
523.8078763948325, -9.193746, -113.992516
536.1336110051615, -9.049786, -114.53344
548.7493827465278, -8.803728, -114.849045
561.6620164890138, -8.604155, -115.710037
574.8784976988677, -8.401027, -116.407013
588.4059762174994, -8.19318, -116.974274
602.2517701293912, -7.980794, -117.882248
616.4233697210328, -7.765143, -118.602409
630.9284415330104, -7.532246, -119.336945
645.7748325074419, -7.331226, -119.865463
660.9705742330143, -7.101595, -120.711372
676.5238872899037, -6.910868, -121.584213
692.4431856969364, -6.688494, -122.441917
708.7370814634023, -6.442466, -123.049217
725.41438924797, -6.279678, -124.254005
742.4841311272324, -6.054954, -125.272324
759.9555414764665, -5.793084, -125.99556
777.838071965236, -5.608732, -127.070564
796.141396670546, -5.37889, -128.302765
814.8754173103216, -5.17287, -129.277115
834.0502686000294, -4.95324, -130.581238
853.6763237353451, -4.728532, -131.479309
873.7642000038413, -4.530154, -132.757843
894.3247645287174, -4.328122, -133.863998
915.3691401476838, -4.087783, -135.303848
936.9087114301923, -3.909516, -136.442612
958.9551308362443, -3.687397, -137.922119
981.520325020135, -3.479631, -139.35939
1004.6165012825238, -3.272575, -140.973343
1028.2561541743255, -3.089343, -142.40538
1052.4520722560096, -2.870959, -144.021332
1077.217345015942, -2.689946, -145.781128
1102.5653699515226, -2.482857, -147.475647
1128.5098598169607, -2.304673, -149.331879
1155.06485004158, -2.13416, -151.165817
1182.2447063227035, -1.983376, -153.097687
1210.0641323971915, -1.795937, -155.073151
1238.5381779958554, -1.647104, -157.165955
1267.6822469850556, -1.49798, -159.372681
1297.5121056998685, -1.357455, -161.519623
1328.0438914733431, -1.240884, -163.77449
1359.2941213664699, -1.140273, -166.130142
1391.2797011035627, -1.036982, -168.35051
1424.0179342179008, -0.949068, -170.868149
1457.5265314125877, -0.891403, -173.331665
1491.82362014167, -0.83974, -175.783066
1526.9277544167076, -0.804407, -178.34491
1562.8579248441174, -0.782826, 179.108734
1599.633568898692, -0.789268, 176.547455
1637.274581438864, -0.805421, 174.127426
1675.8013254694201, -0.836089, 171.470398
1715.2346431574595, -0.878659, 169.045761
1755.5958671075653, -0.956235, 166.459991
1796.9068319023127, -1.037091, 164.026077
1839.1898859143168, -1.135967, 161.576874
1882.4679033962334, -1.243165, 159.176758
1926.7642968552634, -1.366212, 156.924515
1972.1030297188277, -1.519321, 154.632309
2018.5086292982767, -1.664733, 152.440079
2066.006200057669, -1.832621, 150.311844
2114.621437194749, -2.020126, 148.221985
2164.3806405415303, -2.200981, 146.235855
2215.3107287919406, -2.367872, 144.303421
2267.4392540642907, -2.57669, 142.402313
2320.794416806391, -2.78493, 140.644394
2375.4050810513986, -2.991579, 138.896317
2431.3007900326766, -3.200983, 137.128403
2488.5117821660565, -3.424906, 135.539246
2547.06900740819, -3.650281, 133.981186
2607.0041439998417, -3.864788, 132.596756
2668.349615603156, -4.088678, 131.150665
2731.138608842171, -4.32909, 129.878586
2795.405091256111, -4.560669, 128.489487
2861.18382967511, -4.782248, 127.242844
2928.510409028333, -5.020955, 126.052795
2997.421251594704, -5.247159, 124.874863
3067.9536367065875, -5.477352, 123.727882
3140.1457209171263, -5.713716, 122.755806
3214.036558642159, -5.95521, 121.566055
3289.666123287841, -6.188872, 120.679008
3367.0753288754104, -6.426798, 119.738373
3446.306052174847, -6.65525, 118.840439
3527.4011553593223, -6.878482, 117.96611
3610.4045091927314, -7.116117, 117.057938
3695.361016762887, -7.347545, 116.279747
3782.316637773145, -7.590525, 115.505592
3871.318413405634, -7.812203, 114.738396
3962.414491769588, -8.039062, 113.829712
4055.6541539484356, -8.264269, 113.234421
4151.087840659871, -8.494277, 112.552277
4248.7671795432225, -8.740813, 112.029053
4348.7450130889165, -8.952559, 111.197083
4451.075427225196, -9.176074, 110.705513
4555.813780577448, -9.396276, 110.039284
4663.016734416099, -9.626659, 109.506195
4772.742283309173, -9.833191, 109.036079
4885.049786496127, -10.071677, 108.378807
4999.999999999999, -10.295734, 107.82312
