Frequency [Hz], Amplitude [dB], Phase [deg]
499.99999999999994, -0.884303, 156.660187
511.7655109495128, -0.912324, 156.095398
523.8078763948325, -0.962792, 155.499115
536.1336110051615, -0.989789, 154.928192
548.7493827465278, -1.035575, 154.358322
561.6620164890138, -1.075979, 153.653061
574.8784976988677, -1.125353, 152.927139
588.4059762174994, -1.138928, 152.457138
602.2517701293912, -1.206316, 151.664444
616.4233697210328, -1.290066, 150.945038
630.9284415330104, -1.35944, 150.144821
645.7748325074419, -1.415431, 149.386322
660.9705742330143, -1.466205, 148.467331
676.5238872899037, -1.550101, 147.749481
692.4431856969364, -1.652703, 146.836166
708.7370814634023, -1.663206, 145.912109
725.41438924797, -1.797304, 145.28891
742.4841311272324, -1.914303, 144.297943
759.9555414764665, -1.983221, 142.867188
777.838071965236, -2.0639, 142.108902
796.141396670546, -2.188931, 141.247238
814.8754173103216, -2.342122, 139.901993
834.0502686000294, -2.474828, 138.892319
853.6763237353451, -2.579931, 137.396439
873.7642000038413, -2.77201, 136.395554
894.3247645287174, -2.886066, 135.154572
915.3691401476838, -3.105534, 133.924454
936.9087114301923, -3.269566, 132.722183
958.9551308362443, -3.512216, 131.230331
981.520325020135, -3.713972, 129.811432
1004.6165012825238, -3.909536, 128.451477
1028.2561541743255, -4.203991, 127.006432
1052.4520722560096, -4.484729, 125.356705
1077.217345015942, -4.848363, 123.612747
1102.5653699515226, -5.170712, 121.921082
1128.5098598169607, -5.553684, 120.35685
1155.06485004158, -5.989585, 118.438881
1182.2447063227035, -6.493041, 116.48101
1210.0641323971915, -7.012546, 114.131332
1238.5381779958554, -7.669919, 112.227325
1267.6822469850556, -8.342659, 110.415428
1297.5121056998685, -9.072403, 107.869957
1328.0438914733431, -9.99364, 105.823662
1359.2941213664699, -11.014524, 103.5765
1391.2797011035627, -12.260763, 101.240219
1424.0179342179008, -13.6775, 99.289871
1457.5265314125877, -15.421644, 96.301697
1491.82362014167, -17.797022, 94.817848
1526.9277544167076, -20.943811, 93.225365
1562.8579248441174, -26.146624, 92.455254
1599.633568898692, -39.421936, 109.017159
1637.274581438864, -30.080013, -104.65136
1675.8013254694201, -23.039953, -103.605309
1715.2346431574595, -19.199167, -104.975548
1755.5958671075653, -16.622375, -106.878967
1796.9068319023127, -14.602234, -109.046844
1839.1898859143168, -12.986506, -111.149376
1882.4679033962334, -11.761284, -113.70208
1926.7642968552634, -10.670794, -115.886223
1972.1030297188277, -9.738631, -117.859627
2018.5086292982767, -8.949512, -120.112007
2066.006200057669, -8.246435, -122.402634
2114.621437194749, -7.62928, -124.601463
2164.3806405415303, -7.103601, -126.577271
2215.3107287919406, -6.609723, -128.513092
2267.4392540642907, -6.149861, -130.127563
2320.794416806391, -5.767765, -131.867279
2375.4050810513986, -5.395705, -133.42804
2431.3007900326766, -5.079766, -135.175873
2488.5117821660565, -4.803566, -136.875427
2547.06900740819, -4.536394, -138.347336
2607.0041439998417, -4.307074, -139.880356
2668.349615603156, -4.091096, -141.371719
2731.138608842171, -3.88729, -142.713547
2795.405091256111, -3.711172, -144.060211
2861.18382967511, -3.553728, -145.51059
2928.510409028333, -3.404649, -146.687622
2997.421251594704, -3.269362, -147.884598
3067.9536367065875, -3.137056, -148.997513
3140.1457209171263, -3.019685, -149.993576
3214.036558642159, -2.911741, -151.072525
3289.666123287841, -2.819803, -152.090012
3367.0753288754104, -2.709367, -153.021179
3446.306052174847, -2.628355, -154.031937
3527.4011553593223, -2.550923, -154.913788
3610.4045091927314, -2.478067, -155.847214
3695.361016762887, -2.40741, -156.613327
3782.316637773145, -2.350959, -157.563461
3871.318413405634, -2.297667, -158.281647
3962.414491769588, -2.234097, -159.139267
4055.6541539484356, -2.184894, -159.869507
4151.087840659871, -2.134465, -160.724945
4248.7671795432225, -2.092684, -161.332291
4348.7450130889165, -2.055402, -162.038284
4451.075427225196, -2.005137, -162.741699
4555.813780577448, -1.992942, -163.57106
4663.016734416099, -1.947055, -164.114532
4772.742283309173, -1.922828, -164.789307
4885.049786496127, -1.898387, -165.562424
4999.999999999999, -1.862508, -166.2603
