Frequency [Hz], Amplitude [dB], Phase [deg]
499.99999999999994, -19.958246, 157.049515
511.7655109495128, -19.678562, 155.238831
523.8078763948325, -19.21999, 154.635452
536.1336110051615, -18.819981, 154.845459
548.7493827465278, -18.486429, 154.721375
561.6620164890138, -18.059149, 154.070007
574.8784976988677, -17.633141, 153.301605
588.4059762174994, -17.348383, 152.439316
602.2517701293912, -16.752974, 151.508224
616.4233697210328, -16.392971, 151.138809
630.9284415330104, -15.907083, 150.626297
645.7748325074419, -15.599299, 149.642593
660.9705742330143, -15.16287, 148.793594
676.5238872899037, -14.739114, 147.817322
692.4431856969364, -14.251718, 147.117691
708.7370814634023, -13.945244, 146.437485
725.41438924797, -13.460436, 145.038391
742.4841311272324, -13.019432, 144.289078
759.9555414764665, -12.652122, 143.710815
777.838071965236, -12.225737, 142.4133
796.141396670546, -11.789008, 141.244781
814.8754173103216, -11.377275, 140.418167
834.0502686000294, -10.938592, 139.39769
853.6763237353451, -10.534889, 138.31601
873.7642000038413, -10.131707, 137.002563
894.3247645287174, -9.735726, 135.708862
915.3691401476838, -9.275598, 134.5448
936.9087114301923, -8.923248, 132.938751
958.9551308362443, -8.476348, 131.707642
981.520325020135, -8.087663, 130.328445
1004.6165012825238, -7.673794, 128.978363
1028.2561541743255, -7.248434, 127.226906
1052.4520722560096, -6.851428, 125.624229
1077.217345015942, -6.446274, 124.119453
1102.5653699515226, -6.045759, 122.086647
1128.5098598169607, -5.689396, 120.385529
1155.06485004158, -5.300445, 118.535759
1182.2447063227035, -4.927578, 116.6763
1210.0641323971915, -4.555372, 114.591248
1238.5381779958554, -4.200282, 112.625267
1267.6822469850556, -3.858896, 110.35981
1297.5121056998685, -3.520654, 108.238571
1328.0438914733431, -3.194866, 105.979973
1359.2941213664699, -2.890912, 103.621445
1391.2797011035627, -2.58116, 101.280792
1424.0179342179008, -2.309852, 98.879486
1457.5265314125877, -2.036247, 96.375923
1491.82362014167, -1.763361, 93.947342
1526.9277544167076, -1.559932, 91.385056
1562.8579248441174, -1.332173, 88.904716
1599.633568898692, -1.122351, 86.348305
1637.274581438864, -0.924393, 83.804993
1675.8013254694201, -0.779799, 81.268112
1715.2346431574595, -0.628261, 78.765236
1755.5958671075653, -0.484817, 76.191864
1796.9068319023127, -0.358895, 73.726715
1839.1898859143168, -0.272164, 71.340652
1882.4679033962334, -0.185214, 68.989197
1926.7642968552634, -0.103292, 66.734467
1972.1030297188277, -0.042952, 64.413475
2018.5086292982767, 0.000231, 62.18758
2066.006200057669, 0.044086, 60.126225
2114.621437194749, 0.066499, 58.045658
2164.3806405415303, 0.087597, 55.976063
2215.3107287919406, 0.099776, 54.046768
2267.4392540642907, 0.110184, 52.240135
2320.794416806391, 0.105755, 50.406925
2375.4050810513986, 0.101634, 48.661327
2431.3007900326766, 0.091043, 46.969643
2488.5117821660565, 0.074113, 45.345638
2547.06900740819, 0.049625, 43.828094
2607.0041439998417, 0.024468, 42.356148
2668.349615603156, 0.00538, 41.00489
2731.138608842171, -0.019842, 39.595795
2795.405091256111, -0.053977, 38.282623
2861.18382967511, -0.083626, 37.082264
2928.510409028333, -0.111821, 35.821289
2997.421251594704, -0.148322, 34.663769
3067.9536367065875, -0.171585, 33.602283
3140.1457209171263, -0.211226, 32.510193
3214.036558642159, -0.242852, 31.506166
3289.666123287841, -0.274567, 30.462234
3367.0753288754104, -0.306839, 29.544188
3446.306052174847, -0.338159, 28.646141
3527.4011553593223, -0.362454, 27.740255
3610.4045091927314, -0.395819, 26.920736
3695.361016762887, -0.42897, 26.07827
3782.316637773145, -0.460409, 25.326164
3871.318413405634, -0.485842, 24.555504
3962.414491769588, -0.51534, 23.826828
4055.6541539484356, -0.536257, 23.141911
4151.087840659871, -0.561094, 22.496969
4248.7671795432225, -0.591912, 21.798098
4348.7450130889165, -0.611154, 21.197315
4451.075427225196, -0.633192, 20.556002
4555.813780577448, -0.662077, 19.954357
4663.016734416099, -0.691773, 19.395866
4772.742283309173, -0.705796, 18.84314
4885.049786496127, -0.722924, 18.329182
4999.999999999999, -0.743725, 17.764704
