Frequency [Hz], Amplitude [dB], Phase [deg]
499.99999999999994, 0.220542, -22.544151
511.7655109495128, 0.221339, -23.114336
523.8078763948325, 0.228322, -23.638466
536.1336110051615, 0.245546, -24.321198
548.7493827465278, 0.255447, -24.907991
561.6620164890138, 0.26087, -25.581989
574.8784976988677, 0.264958, -26.167343
588.4059762174994, 0.273712, -26.871235
602.2517701293912, 0.292214, -27.557617
616.4233697210328, 0.301871, -28.311598
630.9284415330104, 0.306893, -29.031296
645.7748325074419, 0.333929, -29.779024
660.9705742330143, 0.331407, -30.587971
676.5238872899037, 0.344592, -31.488194
692.4431856969364, 0.373515, -32.19632
708.7370814634023, 0.375917, -33.106285
725.41438924797, 0.381015, -34.086494
742.4841311272324, 0.4093, -34.911957
759.9555414764665, 0.416299, -35.901352
777.838071965236, 0.42929, -36.868431
796.141396670546, 0.451937, -37.913784
814.8754173103216, 0.452621, -39.049763
834.0502686000294, 0.483027, -40.035118
853.6763237353451, 0.482292, -41.29324
873.7642000038413, 0.497273, -42.474606
894.3247645287174, 0.498845, -43.708645
915.3691401476838, 0.513565, -45.028458
936.9087114301923, 0.515204, -46.371101
958.9551308362443, 0.528189, -47.790287
981.520325020135, 0.520947, -49.205494
1004.6165012825238, 0.537954, -50.662331
1028.2561541743255, 0.525751, -52.204708
1052.4520722560096, 0.530299, -53.828053
1077.217345015942, 0.524286, -55.46534
1102.5653699515226, 0.512773, -57.264748
1128.5098598169607, 0.489773, -58.993237
1155.06485004158, 0.469058, -60.960831
1182.2447063227035, 0.425124, -62.854664
1210.0641323971915, 0.388543, -64.853302
1238.5381779958554, 0.357773, -66.830574
1267.6822469850556, 0.287696, -69.126549
1297.5121056998685, 0.215455, -71.303192
1328.0438914733431, 0.142131, -73.420891
1359.2941213664699, 0.05449, -75.920921
1391.2797011035627, -0.062958, -78.174301
1424.0179342179008, -0.178995, -80.582123
1457.5265314125877, -0.308433, -83.078362
1491.82362014167, -0.452949, -85.531479
1526.9277544167076, -0.636901, -88.072411
1562.8579248441174, -0.827073, -90.586426
1599.633568898692, -1.006795, -93.109482
1637.274581438864, -1.232932, -95.646049
1675.8013254694201, -1.47841, -98.132416
1715.2346431574595, -1.737318, -100.610451
1755.5958671075653, -2.009962, -103.248016
1796.9068319023127, -2.261042, -105.625786
1839.1898859143168, -2.584577, -108.07
1882.4679033962334, -2.899289, -110.326706
1926.7642968552634, -3.234368, -112.717018
1972.1030297188277, -3.576918, -115.109612
2018.5086292982767, -3.941713, -117.272507
2066.006200057669, -4.302505, -119.303375
2114.621437194749, -4.675144, -121.425888
2164.3806405415303, -5.06187, -123.459686
2215.3107287919406, -5.444873, -125.368523
2267.4392540642907, -5.850651, -127.224678
2320.794416806391, -6.258259, -128.977753
2375.4050810513986, -6.673341, -130.811493
2431.3007900326766, -7.078858, -132.520828
2488.5117821660565, -7.48856, -134.013077
2547.06900740819, -7.933555, -135.569672
2607.0041439998417, -8.364371, -136.921982
2668.349615603156, -8.792194, -138.420776
2731.138608842171, -9.220401, -139.772537
2795.405091256111, -9.67992, -140.958176
2861.18382967511, -10.08564, -142.345688
2928.510409028333, -10.528013, -143.594193
2997.421251594704, -10.986387, -144.570602
3067.9536367065875, -11.399058, -145.84079
3140.1457209171263, -11.844845, -146.907227
3214.036558642159, -12.26795, -147.825043
3289.666123287841, -12.710255, -148.916061
3367.0753288754104, -13.151192, -149.83519
3446.306052174847, -13.5723, -150.865051
3527.4011553593223, -14.056114, -151.576782
3610.4045091927314, -14.43377, -152.41629
3695.361016762887, -14.889774, -153.34227
3782.316637773145, -15.323458, -154.089462
3871.318413405634, -15.779001, -154.823639
3962.414491769588, -16.165203, -155.388489
4055.6541539484356, -16.634501, -156.453217
4151.087840659871, -17.050163, -156.917542
4248.7671795432225, -17.477549, -157.587982
4348.7450130889165, -17.92227, -158.256058
4451.075427225196, -18.346952, -158.811371
4555.813780577448, -18.795115, -159.599442
4663.016734416099, -19.211704, -160.069046
4772.742283309173, -19.640974, -160.227554
4885.049786496127, -20.045952, -161.44165
4999.999999999999, -20.466846, -162.072403
