Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 17.828115, -27.604496
51.53612032610433, 17.897549, -32.070869
53.11943396533411, 17.988792, -36.862057
54.75139080984025, 18.025581, -42.13018
56.433485295949836, 18.048187, -47.666325
58.16725777267021, 18.0762, -53.019524
59.95429591223723, 18.120127, -58.281364
61.796236163998465, 18.143509, -63.595745
63.69476525296374, 18.1789, -68.508751
65.65162172439418, 18.203339, -73.446625
67.66859753584531, 18.224291, -78.094048
69.74753969812103, 18.230564, -82.761826
71.89035196664213, 18.229124, -87.279938
74.0989965847772, 18.228275, -91.595894
76.37549608073348, 18.237652, -95.613861
78.72193511965182, 18.23004, -99.633766
81.14046241260314, 18.210884, -103.704613
83.63329268423324, 18.182652, -107.728447
86.20270870085896, 18.154572, -111.763412
88.85106336087178, 18.120161, -116.138557
91.58078184936421, 18.080919, -120.77478
94.39436385895092, 18.050343, -125.550308
97.29438587881944, 17.971535, -130.768311
100.28350355410537, 17.927858, -135.793427
103.36445411775371, 17.859621, -141.458557
106.54005889709293, 17.789383, -146.19931
109.81322589741649, 17.73558, -150.603745
113.18695246493866, 17.635553, -154.241302
116.66432803156273, 17.532537, -157.588257
120.24853694397449, 17.405151, -160.329178
123.94286137965344, 17.226017, -162.451218
127.75068435246993, 16.948627, -163.596695
131.6754928106213, 16.585869, -164.396835
135.7208808297453, 16.238449, -165.213608
139.89055290413245, 15.890417, -166.05545
144.18832733905268, 15.585442, -167.148819
148.61813974730293, 15.236877, -168.252563
153.18404665317587, 14.954494, -169.500549
157.89022920715306, 14.655216, -170.963348
162.74099701472082, 14.350054, -172.24173
167.74079208281677, 14.045892, -173.37558
172.8941928875219, 13.679214, -174.308884
178.20591856672044, 13.26972, -175.05275
183.6808332415691, 12.868984, -175.731339
189.32395047073243, 12.428512, -176.262695
195.14043784146168, 11.997275, -176.71553
201.13562170172506, 11.538956, -177.294006
207.31499203771833, 11.020004, -177.433578
213.68420750122428, 10.640388, -177.841064
220.24910059142684, 9.877337, -176.86734
227.01568299592063, 9.512305, -177.500198
233.9901510958105, 9.169621, -178.804825
241.17889163994047, 4.731431, -175.576721
248.58848759344932, 3.223025, -172.357056
256.225724166006, 1.855139, -166.305344
264.0975950252501, 0.976486, -160.177567
272.21130870112154, 0.378084, -158.168777
280.57429518694664, 0.276178, -163.267532
289.19421274332797, 0.386198, -175.169754
298.07895491106336, 0.461319, 168.851822
307.2366577395198, 0.22862, 150.417831
316.67570723708087, -0.696656, 132.739227
326.4047470504878, -2.209412, 141.220459
336.4326863801118, 1.885655, 179.927246
346.7687081383997, 2.516466, 177.933487
357.4222773589664, 2.020883, 175.77446
368.40314986403865, 0.986156, 176.313187
379.7213811981789, 0.193515, 175.041138
391.38733583647763, -0.946774, 176.663742
403.41169667564276, -1.317433, 179.72937
415.8054748166766, -0.873514, 178.168533
428.58001964810387, -1.35767, 175.95546
441.7470292389773, -2.128082, 174.075272
455.3185610511813, -3.229045, 175.774841
469.3070429808473, -3.386216, -177.702881
483.7252847389833, -2.52943, -178.56308
498.58648958174655, -2.707691, 169.570724
513.9042664010972, -4.381918, 163.51207
529.6926421869069, -7.054906, 165.466324
545.9660748719314, -7.838876, -177.998657
562.7394665714154, -6.075674, -176.813309
580.0281772294447, -6.147289, 173.748215
597.8480386845528, -7.850761, 171.610825
616.2153691674517, -8.347829, -179.404037
635.146988244172, -7.279191, 177.744766
654.6602322182886, -7.886384, 165.857452
674.7729700063431, -10.678715, 160.615128
695.5036195009939, -12.057825, 178.97438
716.8711644368869, -10.03612, -177.832748
738.8951717746787, -10.031428, 169.953049
761.5958096191474, -12.166672, 163.263275
784.9938656877847, -13.431415, 171.47876
809.1107663467892, -12.872986, 173.119781
833.9685962318924, -13.093447, 169.3228
859.5901184719835, -14.12225, 167.183411
885.9987955340486, -15.016205, 170.475327
913.2188107085248, -14.95401, 173.973755
941.2750902547297, -14.706912, 166.254227
970.1933262266493, -17.263224, 160.455978
1000, -16.916107, -179.535599
