Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, -9.869876, -107.072754
51.53612032610433, -9.526554, -108.003288
53.11943396533411, -8.884966, -112.088173
54.75139080984025, -8.670024, -111.944221
56.433485295949836, -8.52479, -112.684509
58.16725777267021, -8.222076, -113.080627
59.95429591223723, -7.872384, -113.682343
61.796236163998465, -7.685521, -115.223366
63.69476525296374, -7.368431, -116.171783
65.65162172439418, -7.012615, -116.802971
67.66859753584531, -6.715693, -117.808678
69.74753969812103, -6.396316, -118.997673
71.89035196664213, -6.163461, -120.184242
74.0989965847772, -5.832082, -121.509575
76.37549608073348, -5.52362, -122.701111
78.72193511965182, -5.223685, -123.689278
81.14046241260314, -4.910024, -125.08316
83.63329268423324, -4.607358, -126.353081
86.20270870085896, -4.315181, -128.322296
88.85106336087178, -4.008586, -129.551376
91.58078184936421, -3.753335, -131.171799
94.39436385895092, -3.479666, -132.924332
97.29438587881944, -3.102698, -135.446716
100.28350355410537, -2.901726, -137.187302
103.36445411775371, -2.479744, -139.114502
106.54005889709293, -2.22243, -141.376999
109.81322589741649, -1.995957, -143.36647
113.18695246493866, -1.737279, -145.673386
116.66432803156273, -1.483936, -148.317673
120.24853694397449, -1.235036, -151.208603
123.94286137965344, -1.002783, -153.879639
127.75068435246993, -0.763386, -156.747101
131.6754928106213, -0.600935, -159.85878
135.7208808297453, -0.419263, -163.026535
139.89055290413245, -0.286423, -165.990707
144.18832733905268, -0.134465, -169.339706
148.61813974730293, -0.149475, -172.896561
153.18404665317587, -0.071877, -176.371002
157.89022920715306, -0.008809, -179.483292
162.74099701472082, -0.002317, 176.784637
167.74079208281677, -0.041577, 173.041199
172.8941928875219, -0.122107, 169.666199
178.20591856672044, -0.205476, 166.315048
183.6808332415691, -0.351788, 163.1017
189.32395047073243, -0.449329, 160.158051
195.14043784146168, -0.629886, 156.74556
201.13562170172506, -0.909552, 153.6875
207.31499203771833, -1.111863, 150.940948
213.68420750122428, -1.284928, 148.017456
220.24910059142684, -1.572003, 145.411057
227.01568299592063, -1.824549, 142.863846
233.9901510958105, -2.113574, 140.457428
241.17889163994047, -2.370613, 138.182999
248.58848759344932, -2.642257, 136.106155
256.225724166006, -2.934858, 133.824463
264.0975950252501, -3.239899, 131.944809
272.21130870112154, -3.553591, 129.891129
280.57429518694664, -3.847324, 128.207367
289.19421274332797, -4.164575, 126.830002
298.07895491106336, -4.455081, 124.812691
307.2366577395198, -4.745608, 123.307457
316.67570723708087, -5.096288, 122.173111
326.4047470504878, -5.39236, 120.831284
336.4326863801118, -5.689699, 119.622581
346.7687081383997, -5.974693, 118.155991
357.4222773589664, -6.342558, 116.868225
368.40314986403865, -6.631172, 115.566734
379.7213811981789, -6.90239, 114.554161
391.38733583647763, -7.253192, 113.779091
403.41169667564276, -7.514384, 112.868729
415.8054748166766, -7.84487, 111.564407
428.58001964810387, -8.123499, 110.527672
441.7470292389773, -8.48728, 109.863777
455.3185610511813, -8.789068, 108.961067
469.3070429808473, -9.045828, 108.28904
483.7252847389833, -9.346502, 107.491646
498.58648958174655, -9.668282, 106.383926
513.9042664010972, -9.894567, 106.033432
529.6926421869069, -10.191454, 105.281425
545.9660748719314, -10.501196, 104.4879
562.7394665714154, -10.809145, 103.90477
580.0281772294447, -11.110575, 103.295906
597.8480386845528, -11.449503, 102.483505
616.2153691674517, -11.621792, 101.771858
635.146988244172, -11.963293, 101.419662
654.6602322182886, -12.223661, 101.089355
674.7729700063431, -12.564268, 100.491615
695.5036195009939, -12.866899, 99.922058
716.8711644368869, -13.090631, 99.049232
738.8951717746787, -13.413534, 99.099243
761.5958096191474, -13.667414, 98.715408
784.9938656877847, -13.997202, 97.755852
809.1107663467892, -14.219708, 97.811661
833.9685962318924, -14.578487, 96.921402
859.5901184719835, -14.817758, 96.772224
885.9987955340486, -15.152188, 96.760086
913.2188107085248, -15.363237, 96.226021
941.2750902547297, -15.724173, 95.552345
970.1933262266493, -16.001324, 95.17218
1000, -16.433968, 95.085701
