Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, -0.510365, 159.744186
51.53612032610433, -0.494067, 159.69664
53.11943396533411, -0.858461, 158.750702
54.75139080984025, -0.8143, 157.888489
56.433485295949836, -0.820553, 157.56752
58.16725777267021, -0.836544, 156.680954
59.95429591223723, -0.876581, 155.654663
61.796236163998465, -0.942476, 155.246384
63.69476525296374, -1.009982, 154.230423
65.65162172439418, -1.04289, 153.098099
67.66859753584531, -1.127695, 152.065414
69.74753969812103, -1.213939, 150.947784
71.89035196664213, -1.331868, 150.108429
74.0989965847772, -1.441401, 148.752701
76.37549608073348, -1.534731, 147.625458
78.72193511965182, -1.654298, 146.238205
81.14046241260314, -1.789655, 144.827927
83.63329268423324, -1.932823, 143.309311
86.20270870085896, -2.104588, 141.934418
88.85106336087178, -2.272813, 140.440643
91.58078184936421, -2.482733, 138.673767
94.39436385895092, -2.783265, 136.885651
97.29438587881944, -2.961572, 134.592438
100.28350355410537, -3.386865, 132.93042
103.36445411775371, -3.619725, 130.536819
106.54005889709293, -4.088178, 128.605042
109.81322589741649, -4.401341, 126.744812
113.18695246493866, -4.947903, 124.269135
116.66432803156273, -5.468566, 121.68705
120.24853694397449, -6.13718, 119.037865
123.94286137965344, -6.976092, 116.012421
127.75068435246993, -7.930685, 113.621468
131.6754928106213, -8.992304, 110.321671
135.7208808297453, -10.32669, 107.530312
139.89055290413245, -12.050267, 103.369957
144.18832733905268, -14.294424, 99.546967
148.61813974730293, -16.835402, 97.478439
153.18404665317587, -21.801613, 92.720993
157.89022920715306, -32.533073, 104.83242
162.74099701472082, -29.111038, -99.947327
167.74079208281677, -20.283911, -98.175133
172.8941928875219, -16.218271, -101.525887
178.20591856672044, -13.488141, -104.479576
183.6808332415691, -11.44176, -107.996109
189.32395047073243, -9.97484, -110.793442
195.14043784146168, -8.698455, -113.516785
201.13562170172506, -7.557323, -117.062874
207.31499203771833, -6.671931, -119.613358
213.68420750122428, -5.991647, -122.297897
220.24910059142684, -5.337894, -124.959595
227.01568299592063, -4.77927, -127.445213
233.9901510958105, -4.290046, -129.930405
241.17889163994047, -3.881832, -132.096436
248.58848759344932, -3.501174, -134.366241
256.225724166006, -3.237591, -136.463867
264.0975950252501, -2.968629, -138.568985
272.21130870112154, -2.710867, -140.075729
280.57429518694664, -2.527119, -142.229218
289.19421274332797, -2.341249, -143.817459
298.07895491106336, -2.145483, -145.45816
307.2366577395198, -1.963962, -146.866089
316.67570723708087, -1.828085, -148.189484
326.4047470504878, -1.692856, -149.722336
336.4326863801118, -1.587672, -150.87352
346.7687081383997, -1.498649, -152.099304
357.4222773589664, -1.382362, -153.541901
368.40314986403865, -1.311739, -154.679626
379.7213811981789, -1.220468, -155.641968
391.38733583647763, -1.145685, -156.82814
403.41169667564276, -1.077354, -157.788193
415.8054748166766, -1.036603, -158.679276
428.58001964810387, -0.973964, -159.564423
441.7470292389773, -0.950948, -160.423035
455.3185610511813, -0.899663, -161.462158
469.3070429808473, -0.852463, -162.177505
483.7252847389833, -0.821324, -162.925949
498.58648958174655, -0.797969, -163.858643
513.9042664010972, -0.79004, -164.442978
529.6926421869069, -0.770086, -165.158157
545.9660748719314, -0.737605, -165.904251
562.7394665714154, -0.718843, -166.576248
580.0281772294447, -0.699865, -167.029663
597.8480386845528, -0.644411, -167.581512
616.2153691674517, -0.630814, -168.127213
635.146988244172, -0.614601, -168.737198
654.6602322182886, -0.635898, -169.16127
674.7729700063431, -0.611313, -169.75325
695.5036195009939, -0.615526, -170.279297
716.8711644368869, -0.610304, -170.841522
738.8951717746787, -0.611485, -171.271332
761.5958096191474, -0.638194, -171.747116
784.9938656877847, -0.646416, -172.426178
809.1107663467892, -0.662993, -172.696579
833.9685962318924, -0.677244, -173.350677
859.5901184719835, -0.681162, -173.684921
885.9987955340486, -0.70237, -174.150345
913.2188107085248, -0.707547, -174.509171
941.2750902547297, -0.721374, -174.818771
970.1933262266493, -0.725353, -175.270355
1000, -0.735399, -175.594879
