Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, -20.17791, 168.709656
51.53612032610433, -19.56114, 166.855072
53.11943396533411, -18.122585, 156.203827
54.75139080984025, -17.738749, 158.23996
56.433485295949836, -17.617758, 156.805969
58.16725777267021, -17.0942, 156.913895
59.95429591223723, -16.440529, 156.885162
61.796236163998465, -16.019705, 154.089386
63.69476525296374, -15.394945, 153.254868
65.65162172439418, -14.799513, 153.126633
67.66859753584531, -14.205522, 152.08252
69.74753969812103, -13.580894, 150.812546
71.89035196664213, -13.133093, 149.421051
74.0989965847772, -12.460786, 148.256073
76.37549608073348, -11.936295, 146.982559
78.72193511965182, -11.442257, 146.200745
81.14046241260314, -10.854528, 144.882568
83.63329268423324, -10.333014, 143.688797
86.20270870085896, -9.673483, 141.753616
88.85106336087178, -9.192326, 140.32019
91.58078184936421, -8.622035, 138.00238
94.39436385895092, -8.132056, 136.532852
97.29438587881944, -7.347749, 134.60881
100.28350355410537, -6.909436, 132.205307
103.36445411775371, -6.283684, 131.412262
106.54005889709293, -5.737081, 128.938812
109.81322589741649, -5.29123, 126.503014
113.18695246493866, -4.783325, 124.027702
116.66432803156273, -4.251786, 121.408737
120.24853694397449, -3.721851, 118.607239
123.94286137965344, -3.242181, 115.927422
127.75068435246993, -2.745143, 113.041672
131.6754928106213, -2.313515, 110.011742
135.7208808297453, -1.869658, 106.850624
139.89055290413245, -1.49627, 103.807716
144.18832733905268, -1.108267, 100.606903
148.61813974730293, -0.714872, 96.63681
153.18404665317587, -0.37963, 93.369713
157.89022920715306, -0.155596, 90.267113
162.74099701472082, 0.11824, 86.675705
167.74079208281677, 0.370536, 83.107529
172.8941928875219, 0.558801, 79.679222
178.20591856672044, 0.725444, 76.258919
183.6808332415691, 0.842686, 72.979263
189.32395047073243, 0.976264, 69.788574
195.14043784146168, 1.059554, 66.63456
201.13562170172506, 1.093128, 63.56868
207.31499203771833, 1.149534, 60.642735
213.68420750122428, 1.185789, 58.013996
220.24910059142684, 1.202304, 55.307899
227.01568299592063, 1.207759, 52.753075
233.9901510958105, 1.203988, 50.305672
241.17889163994047, 1.176509, 48.040588
248.58848759344932, 1.139312, 45.854023
256.225724166006, 1.130627, 43.925404
264.0975950252501, 1.08532, 41.869701
272.21130870112154, 1.070417, 40.038414
280.57429518694664, 1.019923, 38.219784
289.19421274332797, 0.95985, 36.513344
298.07895491106336, 0.940149, 34.977531
307.2366577395198, 0.893284, 33.482033
316.67570723708087, 0.829117, 31.992558
326.4047470504878, 0.789935, 30.613523
336.4326863801118, 0.740684, 29.258089
346.7687081383997, 0.6948, 28.017845
357.4222773589664, 0.669912, 26.857916
368.40314986403865, 0.633019, 25.770058
379.7213811981789, 0.576406, 24.658438
391.38733583647763, 0.534644, 23.555471
403.41169667564276, 0.495683, 22.577765
415.8054748166766, 0.463519, 21.674103
428.58001964810387, 0.420951, 20.747751
441.7470292389773, 0.394172, 19.886518
455.3185610511813, 0.3437, 18.966171
469.3070429808473, 0.316196, 18.256815
483.7252847389833, 0.280917, 17.346693
498.58648958174655, 0.242403, 16.594
513.9042664010972, 0.214095, 15.856619
529.6926421869069, 0.184731, 15.216405
545.9660748719314, 0.146362, 14.5234
562.7394665714154, 0.118591, 13.874607
580.0281772294447, 0.087051, 13.23924
597.8480386845528, 0.06258, 12.60759
616.2153691674517, 0.027578, 12.109666
635.146988244172, 0.005243, 11.497575
654.6602322182886, -0.028671, 11.011624
674.7729700063431, -0.060176, 10.393106
695.5036195009939, -0.083638, 9.915123
716.8711644368869, -0.103425, 9.456151
738.8951717746787, -0.151636, 8.967151
761.5958096191474, -0.170594, 8.486039
784.9938656877847, -0.18289, 8.05162
809.1107663467892, -0.223074, 7.706059
833.9685962318924, -0.240036, 7.23996
859.5901184719835, -0.264349, 6.972653
885.9987955340486, -0.294183, 6.503659
913.2188107085248, -0.317326, 6.141979
941.2750902547297, -0.349912, 5.802628
970.1933262266493, -0.370807, 5.458798
1000, -0.391205, 5.111181
