Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 0.466532, -20.623743
51.53612032610433, 0.49285, -21.278269
53.11943396533411, 0.416491, -20.296717
54.75139080984025, 0.446467, -21.587076
56.433485295949836, 0.555558, -22.383978
58.16725777267021, 0.582861, -23.368263
59.95429591223723, 0.591292, -24.316442
61.796236163998465, 0.653024, -24.819937
63.69476525296374, 0.672663, -25.731331
65.65162172439418, 0.698592, -26.922789
67.66859753584531, 0.729358, -27.906527
69.74753969812103, 0.750894, -29.00209
71.89035196664213, 0.801402, -29.9312
74.0989965847772, 0.820334, -31.190502
76.37549608073348, 0.858483, -32.420792
78.72193511965182, 0.91915, -33.722343
81.14046241260314, 0.958071, -35.129234
83.63329268423324, 1.003209, -36.524559
86.20270870085896, 1.010059, -38.118229
88.85106336087178, 1.077753, -39.534828
91.58078184936421, 1.093318, -41.180561
94.39436385895092, 1.136552, -42.833603
97.29438587881944, 1.164415, -45.142803
100.28350355410537, 1.160102, -46.862289
103.36445411775371, 1.253389, -49.010925
106.54005889709293, 1.261878, -51.1842
109.81322589741649, 1.246016, -53.313274
113.18695246493866, 1.270802, -55.691841
116.66432803156273, 1.234072, -58.244678
120.24853694397449, 1.205359, -61.002865
123.94286137965344, 1.185413, -63.846859
127.75068435246993, 1.16385, -66.82325
131.6754928106213, 1.049078, -69.776642
135.7208808297453, 0.977476, -72.958153
139.89055290413245, 0.833059, -75.755127
144.18832733905268, 0.756263, -78.976883
148.61813974730293, 0.41691, -83.021759
153.18404665317587, 0.251077, -85.772606
157.89022920715306, 0.160113, -89.762199
162.74099701472082, -0.151767, -93.427116
167.74079208281677, -0.518474, -96.772598
172.8941928875219, -0.824421, -100.13073
178.20591856672044, -1.193798, -103.646988
183.6808332415691, -1.53346, -106.913658
189.32395047073243, -2.02951, -110.439682
195.14043784146168, -2.490697, -113.211044
201.13562170172506, -2.852533, -115.839066
207.31499203771833, -3.381738, -118.669838
213.68420750122428, -3.819672, -121.901115
220.24910059142684, -4.349995, -124.262016
227.01568299592063, -4.87172, -126.964951
233.9901510958105, -5.43284, -129.458374
241.17889163994047, -5.957661, -132.002045
248.58848759344932, -6.54075, -133.249481
256.225724166006, -7.056877, -136.713821
264.0975950252501, -7.586512, -137.639694
272.21130870112154, -8.197067, -140.090393
280.57429518694664, -8.889898, -141.863815
289.19421274332797, -9.461387, -143.498337
298.07895491106336, -9.776689, -145.446198
307.2366577395198, -10.494888, -147.527954
316.67570723708087, -11.051464, -147.009766
326.4047470504878, -11.569622, -148.819229
336.4326863801118, -12.070502, -150.483368
346.7687081383997, -12.739554, -151.499069
357.4222773589664, -13.428028, -152.607346
368.40314986403865, -13.991233, -154.928421
379.7213811981789, -14.35464, -154.44519
391.38733583647763, -15.201672, -156.228882
403.41169667564276, -15.639543, -156.337158
415.8054748166766, -16.3195, -158.321655
428.58001964810387, -16.916006, -159.412079
441.7470292389773, -17.381985, -159.012131
455.3185610511813, -17.90073, -159.44043
469.3070429808473, -18.41017, -161.405914
483.7252847389833, -19.112566, -161.585785
498.58648958174655, -19.421406, -162.380814
513.9042664010972, -20.189869, -165.068649
529.6926421869069, -20.632862, -165.672958
545.9660748719314, -21.482122, -162.913376
562.7394665714154, -21.721296, -165.378601
580.0281772294447, -22.454647, -166.692093
597.8480386845528, -23.043209, -167.425812
616.2153691674517, -23.455807, -169.122177
635.146988244172, -24.083921, -168.550308
654.6602322182886, -24.664597, -170.969986
674.7729700063431, -24.695196, -167.944427
695.5036195009939, -26.005878, -167.796478
716.8711644368869, -26.058319, -170.728333
738.8951717746787, -26.379719, -170.772476
761.5958096191474, -27.688881, -170.709961
784.9938656877847, -28.482227, -172.387543
809.1107663467892, -28.618299, -176.828918
833.9685962318924, -28.650084, -170.780685
859.5901184719835, -29.851608, -174.717896
885.9987955340486, -29.907591, -171.135071
913.2188107085248, -30.43539, -176.855606
941.2750902547297, -30.835855, -174.214722
970.1933262266493, -32.151627, -179.863464
1000, -32.474205, -177.776077
